S.No.,Property type,No_of_Beds,Bathroom
1,condo,1.00,1.00
2,condo,1.00,1.00
3,condo,1.00,1.00
4,condo,2.00,2.00
5,condo,1.00,1.00
6,condo,1.00,1.50
7,condo,3.00,2.00
8,condo,2.00,1.00
9,condo,1.00,1.00
10,condo,2.00,1.00
11,condo,2.00,2.00
12,condo,2.00,2.00
13,condo,3.00,2.00
14,condo,1.00,1.00
15,condo,3.00,2.00
16,condo,3.00,2.50
17,condo,1.00,1.00
18,condo,2.00,2.00
19,condo,2.00,1.00
20,condo,2.00,2.00
21,condo,1.00,1.00
22,condo,1.00,1.50
23,condo,2.00,1.00
24,condo,1.00,1.00
25,condo,2.00,2.00
26,condo,2.00,1.00
27,condo,1.00,1.00
28,condo,2.00,2.00
29,condo,1.00,1.00
30,condo,2.00,2.00
31,condo,2.00,2.00
32,condo,1.00,1.00
33,condo,2.00,1.00
34,condo,2.00,1.00
35,condo,2.00,2.00
36,condo,4.00,3.50
37,condo,1.00,1.00
38,condo,1.00,1.00
39,condo,3.00,2.50
40,condo,1.00,1.00
41,condo,2.00,1.00
42,condo,2.00,1.50
43,condo,2.00,2.00
44,condo,1.00,1.00
45,condo,1.00,1.00
46,condo,1.00,1.00
47,condo,2.00,2.00
48,condo,1.00,1.00
49,condo,3.00,1.50
50,condo,2.00,2.50
51,condo,3.00,3.50
52,condo,3.00,2.50
53,condo,2.00,2.00
54,condo,3.00,2.00
55,condo,1.00,1.00
56,condo,3.00,3.00
57,condo,1.00,1.00
58,condo,2.00,1.00
59,condo,2.00,2.00
60,condo,2.00,2.00
61,condo,1.00,1.50
62,condo,2.00,2.00
63,condo,1.00,1.00
64,condo,1.00,1.00
65,condo,5.00,3.50
66,condo,3.00,2.00
67,condo,3.00,3.00
68,condo,3.00,2.00
69,condo,1.00,1.00
70,condo,3.00,2.50
71,condo,2.00,2.00
72,condo,2.00,3.50
73,condo,2.00,1.00
74,condo,2.00,2.00
75,condo,1.00,1.00
76,condo,1.00,1.00
77,condo,2.00,2.00
78,condo,2.00,2.00
79,condo,1.00,1.00
80,condo,3.00,2.00
81,condo,1.00,1.00
82,condo,3.00,2.50
83,condo,2.00,1.00
84,condo,3.00,2.00
85,condo,2.00,1.50
86,condo,1.00,1.00
87,condo,3.00,2.50
88,condo,3.00,2.00
89,condo,4.00,3.00
90,condo,3.00,1.00
91,condo,4.00,2.50
92,condo,1.00,1.00
93,condo,1.00,1.00
94,condo,2.00,2.00
95,condo,1.00,1.00
96,condo,2.00,1.00
97,condo,2.00,1.00
98,condo,0.00,1.00
99,condo,1.00,1.00
100,condo,1.00,1.00
101,condo,2.00,2.00
102,condo,4.00,3.00
103,condo,2.00,1.00
104,condo,4.00,3.00
105,condo,3.00,3.50
106,condo,2.00,2.00
107,condo,1.00,1.00
108,condo,1.00,1.00
109,condo,1.00,1.00
110,condo,1.00,1.00
111,condo,3.00,3.00
112,condo,1.00,1.00
113,condo,2.00,2.00
