S.No.,Price,Price (in Rs.),No_of_Beds,Address,City,State,State_Code
1,"$220,000.00",18383200.00,1.00,440 N Wabash Ave #1512, Chicago,IL,60611
2,"$269,000.00",22477640.00,1.00,832 W Oakdale Ave Unit 1G, Chicago,IL,60657
3,"$170,000.00",14205200.00,1.00,819 E 53rd St #3, Chicago,IL,60615
4,"$385,000.00",32170600.00,2.00,3944 N Claremont Ave #307, Chicago,IL,60618
5,"$320,000.00",26739200.00,1.00,1030 N State St Unit 41A, Chicago,IL,60610
6,"$289,900.00",24224044.00,1.00,645 N Kingsbury St #1003, Chicago,IL,60654
7,"$499,990.00",41779164.40,3.00,1159 N Hudson St Unit 1-101, Chicago,IL,60610
8,"$349,500.00",29204220.00,2.00,222 E Pearson St #1808, Chicago,IL,60611
9,"$240,000.00",20054400.00,1.00,701 S Wells St #1907, Chicago,IL,60607
10,"$340,000.00",28410400.00,2.00,1844 W Berteau Ave #3, Chicago,IL,60613
11,"$535,000.00",44704600.00,2.00,235 W Van Buren St #4508, Chicago,IL,60607
12,"$479,000.00",40025240.00,2.00,1758 W Cullerton St #3, Chicago,IL,60608
13,"$164,900.00",13779044.00,3.00,5418 S Michigan Ave Unit G, Chicago,IL,60615
14,"$329,000.00",27491240.00,1.00,1660 N La Salle Dr #3606, Chicago,IL,60614
15,"$435,000.00",36348600.00,3.00,4046 N Clarendon Ave Unit 1N, Chicago,IL,60613
16,"$1,449,000.00",121078440.00,3.00,400 W Huron St #1002, Chicago,IL,60654
17,"$210,000.00",17547600.00,1.00,111 W Maple St #2407, Chicago,IL,60610
18,"$249,000.00",20806440.00,2.00,4701 N Drake Ave #1, Chicago,IL,60625
19,"$395,000.00",33006200.00,2.00,5683 N Ridge Ave Unit 2W, Chicago,IL,60660
20,"$524,900.00",43860644.00,2.00,343 W Old Town Ct #709, Chicago,IL,60610
21,"$289,900.00",24224044.00,1.00,125 E 13th St #1114, Chicago,IL,60605
22,"$279,900.00",23388444.00,1.00,1740 W Foster Ave Unit 3R, Chicago,IL,60640
23,"$269,900.00",22552844.00,2.00,1151 W 15th St #309, Chicago,IL,60608
24,"$215,000.00",17965400.00,1.00,2909 N Sheridan Rd #1607, Chicago,IL,60657
25,"$279,900.00",23388444.00,2.00,1244 W Albion Ave Unit GW, Chicago,IL,60626
26,"$242,000.00",20221520.00,2.00,802 Dobson St #1, Evanston,IL,60202
27,"$124,900.00",10436644.00,1.00,7220 N Claremont Ave Unit AA, Chicago,IL,60645
28,"$279,000.00",23313240.00,2.00,4343 N Clarendon Ave #1102, Chicago,IL,60613
29,"$220,000.00",18383200.00,1.00,348 W Wendell St #1, Chicago,IL,60610
30,"$229,000.00",19135240.00,2.00,4837 S Forrestville Ave #1, Chicago,IL,60615
31,"$850,000.00",71026000.00,2.00,550 N Kingsbury St #606, Chicago,IL,60654
32,"$109,999.00",9191516.44,1.00,9745 S Karlov Ave #103, Oak Lawn,IL,60453
33,"$182,000.00",15207920.00,2.00,5931 W Midway Park Unit 2W, Chicago,IL,60644
34,"$399,900.00",33415644.00,2.00,1344 N North Park Ave #2, Chicago,IL,60610
35,"$689,900.00",57648044.00,2.00,1525 N Bosworth Ave Unit 2S, Chicago,IL,60642
36,"$1,200,000.00",100272000.00,4.00,1525 N Bosworth Ave Unit 1N, Chicago,IL,60642
37,"$310,000.00",25903600.00,1.00,405 N Wabash Ave #1707, Chicago,IL,60611
38,"$259,000.00",21642040.00,1.00,200 N Dearborn St #2904, Chicago,IL,60601
39,"$1,000,000.00",83560000.00,3.00,1631 W Pierce Ave #2, Chicago,IL,60622
40,"$265,000.00",22143400.00,1.00,1801 S Michigan Ave #304, Chicago,IL,60616
41,"$300,000.00",25068000.00,2.00,3901 N Claremont Ave #2, Chicago,IL,60618
42,"$295,000.00",24650200.00,2.00,5319 N Kenmore Ave Unit 3A, Chicago,IL,60640
43,"$180,000.00",15040800.00,2.00,1400 E 55th Pl Unit 715S, Chicago,IL,60637
44,"$239,900.00",20046044.00,1.00,500 S Clinton St #327, Chicago,IL,60607
45,"$260,000.00",21725600.00,1.00,1400 S Michigan Ave #403, Chicago,IL,60605
46,"$250,000.00",20890000.00,1.00,3550 N Lake Shore Dr #706, Chicago,IL,60657
